,speaker,recording,year,topic,VowelN,t1,t2,timetoIPend,VowelQ,vstress,word,wstress,VoiceQ,hnr_mid,hnr_mean,f0_mid,f0_mean,duration,center
0,S01,10_12_21_tipicas_107,2010,same topic,5,7.298978107168037,7.385665662431386,0.9834321197199012,a,2_pre_n,ordenanzas,,,10.161776624060424,8.484150712710194,147.5716714618075,147.92699121482357,0.08668755526334859,7.342321884799711
1,S01,10_12_21_tipicas_107,2010,same topic,4,7.513117994507363,7.582061033870227,0.7692922323805753,a,1_pre_n,ordenanzas,,,10.380361589865597,7.725520375004276,142.5175354001594,145.85149969666338,0.06894303936286406,7.547589514188795
2,S01,10_12_21_tipicas_107,2010,same topic,3,7.702021922361611,7.759934075426417,0.580388304526327,i,n,típicas,antepenultimate,,13.024623429709388,9.455523839982533,133.01908266858624,133.9929254820969,0.05791215306480613,7.730977998894014
3,S01,10_12_21_tipicas_107,2010,same topic,2,7.795915187955086,7.863479366530694,0.4864950389328522,i,1_post_n,típicas,antepenultimate,,-200.0,,,,0.06756417857560759,7.829697277242889
4,S01,10_12_21_tipicas_107,2010,same topic,1,7.957241900064189,8.055141015959457,0.3251683268237491,a,2_post_n,típicas,antepenultimate,whisper,-178.12289475307583,5.083245384783238,,,0.09789911589526756,8.006191458011823
0,S01,21_05_10_sagunto_275,2021,same topic,5,5.56628702430123,5.6256620723321955,0.70429642515436,o,3_pre_n,ayuntamiento,,,17.90546624373239,12.338640753621954,129.80451689223878,130.97458812405225,0.05937504803096516,5.595974548316713
1,S01,21_05_10_sagunto_275,2021,same topic,4,5.636599646598988,5.709110333580322,0.6339838028566023,e,2_pre_n,de,,,18.17158752554914,17.333958829027146,133.56840316760488,132.88856823247002,0.07251068698133434,5.672854990089656
2,S01,21_05_10_sagunto_275,2021,same topic,3,5.822178786759604,5.8802007561542355,0.4484046626959861,a,1_pre_n,sagunto,penultimate,,5.029864223324274,5.18900325194131,127.92341018898557,130.31600843874986,0.058021969394631334,5.851189771456919
3,S01,21_05_10_sagunto_275,2021,same topic,2,5.9343910612370125,6.004314973071568,0.3361923882185778,u,n,sagunto,penultimate,whisper,18.64577646854982,-1.5063108226688982,,114.55948886001342,0.0699239118345556,5.96935301715429
4,S01,21_05_10_sagunto_275,2021,same topic,1,6.14416279674068,6.27058344945559,0.1264206527149101,o,1_post_n,sagunto,penultimate,whisper,-200.0,,,,0.1264206527149101,6.207373123098135
0,S01,21_07_20_receta_303,2021,new topic,5,8.203826210304747,8.297169257878336,1.234983593597418,ia,3_pre_n,farmacias,,,7.9441933952922135,9.312631018073319,181.90390810321028,181.78073580907187,0.09334304757358858,8.250497734091542
1,S01,21_07_20_receta_303,2021,new topic,4,8.796582651692047,8.878143146036138,0.6422271522101184,i,2_pre_n,sin,,,22.262807084790772,17.73529368644567,234.14679320230033,230.12239332645126,0.08156049434409063,8.837362898864093
2,S01,21_07_20_receta_303,2021,new topic,3,8.991486974030718,9.052257538443962,0.4473228298714478,e,1_pre_n,receta,penultimate,,7.621639750225437,8.027255449939112,140.8713431902041,141.70755269798366,0.0607705644132448,9.02187225623734
3,S01,21_07_20_receta_303,2021,new topic,2,9.157806413477491,9.206582787546017,0.28100339042467404,e,n,receta,penultimate,,7.459926851212656,5.237402856975946,89.01710289194614,98.39389074387184,0.04877637406852564,9.182194600511753
4,S01,21_07_20_receta_303,2021,new topic,1,9.315515648466466,9.438809803902165,0.12329415543569944,a,1_post_n,receta,penultimate,whisper,-200.0,6.401208395760134,,,0.12329415543569944,9.377162726184316
0,S01,10_12_21_sinde_103,2010,adjacent topic,5,13.05722189577063,13.09332538473931,0.6820254615905341,o,3_pre_n,con,,,7.55264852546722,6.536319939859356,135.19709864105235,134.6311833121571,0.03610348896868132,13.07527364025497
1,S01,10_12_21_sinde_103,2010,adjacent topic,4,13.140711214010707,13.198251149554544,0.5985361433504561,a,2_pre_n,la,,,3.8970714815410723,6.287434995897204,134.2041611230351,134.90002134374274,0.05753993554383641,13.169481181782626
2,S01,10_12_21_sinde_103,2010,adjacent topic,3,13.237989154780482,13.327998063035745,0.5012582025806811,ei,1_pre_n,ley,,,11.959719198126344,10.568009432058167,150.61860690442643,148.4684839822631,0.0900089082552622,13.282993608908114
3,S01,10_12_21_sinde_103,2010,adjacent topic,2,13.45004865818194,13.499257192650248,0.2891986991792237,i,n,sinde,penultimate,creaky,9.883089477637922,0.3200850407779773,,,0.049208534468307974,13.474652925416095
4,S01,10_12_21_sinde_103,2010,adjacent topic,1,13.61034529806669,13.739247357361164,0.1289020592944734,e,1_post_n,sinde,penultimate,whisper,-200.0,9.58546243393956,,,0.1289020592944734,13.674796327713928
0,S01,21_07_14_tiempo_236,2021,same topic,5,9.05662007333595,9.130202682616838,0.7281230786661226,e,3_pre_n,llegado,,,26.80787114914378,18.63316321062091,130.9451365854502,128.78123511780458,0.07358260928088889,9.093411377976395
1,S01,21_07_14_tiempo_236,2021,same topic,4,9.179220471414933,9.249033685763735,0.6055226805871392,a,2_pre_n,llegado,,,16.87167619061794,6.669880036355157,117.77510535317704,118.5649791722354,0.06981321434880172,9.214127078589334
2,S01,21_07_14_tiempo_236,2021,same topic,3,9.299536862101167,9.37232085152864,0.48520628990090486,oa,1_pre_n,a,,,-200.0,2.458779636116293,,101.37252347593932,0.07278398942747266,9.335928856814903
3,S01,21_07_14_tiempo_236,2021,same topic,2,9.443651993659973,9.532775246020146,0.341091158342099,ie,n,tiempo,penultimate,creaky,-200.0,,,91.5151593695167,0.0891232523601726,9.48821361984006
4,S01,21_07_14_tiempo_236,2021,same topic,1,9.65099195502315,9.784743152002072,0.13375119697892224,o,1_post_n,tiempo,penultimate,whisper,-200.0,,,,0.13375119697892224,9.717867553512612
0,S01,21_07_06_hospitalizado_131,2021,new topic,5,9.708209183261218,9.757838163496613,0.6753766377119987,i,3_pre_n,hospitalizado,penultimate,,11.607646146696856,10.364546035774557,167.4495626672236,167.96187765028503,0.049628980235395304,9.733023673378916
1,S01,21_07_06_hospitalizado_131,2021,new topic,4,9.847003074840986,9.911446676042171,0.5365827461322308,a,2_pre_n,hospitalizado,penultimate,,10.255250027039029,7.1835078078295,151.07147488225485,150.4064348968644,0.06444360120118553,9.87922487544158
2,S01,21_07_06_hospitalizado_131,2021,new topic,3,9.952186883698092,10.016630484899277,0.4313989372751248,i,1_pre_n,hospitalizado,penultimate,,12.89283193228387,13.409492503144804,133.86883393247922,132.8987479685678,0.06444360120118553,9.984408684298685
3,S01,21_07_06_hospitalizado_131,2021,new topic,2,10.128443601201187,10.193627933450662,0.2551422197720292,a,n,hospitalizado,penultimate,creaky,4.0720104638317824,2.7774613878778545,,,0.06518433224947451,10.161035767325924
4,S01,21_07_06_hospitalizado_131,2021,new topic,1,10.32062368186861,10.383585820973217,0.0629621391046058,o,1_post_n,hospitalizado,penultimate,whisper,-200.0,,,,0.0629621391046058,10.352104751420914
0,S01,21_05_10_distubios_271,2021,same topic,5,13.74192983522424,13.847894022101485,0.9989134121487577,e,3_pre_n,noche,,,3.1107063841429436,13.837219823271743,141.91363626160808,146.43911784502316,0.10596418687724452,13.794911928662863
1,S01,21_05_10_distubios_271,2021,same topic,4,14.00324641825528,14.0621983250391,0.7375968291177184,e,2_pre_n,de,,,11.029581598549164,9.539493446301298,147.05047366201967,148.06606751715734,0.05895190678382001,14.03272237164719
2,S01,21_05_10_distubios_271,2021,same topic,3,14.10100211178288,14.1599540185667,0.6398411355901192,i,1_pre_n,distubios,penultimate,,20.820445779517268,15.534266239112798,144.62807611451836,142.35570232465793,0.05895190678382001,14.130478065174788
3,S01,21_05_10_distubios_271,2021,same topic,2,14.300102639317304,14.349353599415178,0.4407406080556946,u,n,distubios,penultimate,whisper,9.493394878592625,5.320485189819648,87.83483976174408,88.68358226354162,0.049250960097873886,14.324728119366242
4,S01,21_05_10_distubios_271,2021,same topic,1,14.470242319655416,14.59710085324085,0.2706009277175827,io,1_post_n,distubios,penultimate,whisper,-200.0,,,,0.12685853358543397,14.533671586448133
0,S01,21_07_14_decir_237,2021,same topic,5,10.260334034187938,10.32722200859405,0.7579875382477255,a,4_pre_n,vamos,,,23.120885818410233,17.075449149674746,124.33469216024395,123.5295002462359,0.0668879744061126,10.293778021390995
1,S01,21_07_14_decir_237,2021,same topic,4,10.387311667574522,10.436619573471717,0.6310099048611413,o,3_pre_n,vamos,,,9.869124147580656,11.36932477311914,124.49030240420176,123.12654999945774,0.04930790589719436,10.41196562052312
2,S01,21_07_14_decir_237,2021,same topic,3,10.508582463159511,10.563220953478023,0.5097391092761523,e,2_pre_n,de,,creaky,11.67814800356189,10.56156934534865,133.89037086646218,132.544847658126,0.054638490318511757,10.535901708318768
3,S01,21_07_14_decir_237,2021,same topic,2,10.599202398321921,10.655136224584997,0.41911917411374233,e,1_pre_n,decir,ultimate,creaky,16.13484045400933,13.250139081671021,119.05017621342915,117.24242991911426,0.055933826263075304,10.627169311453459
4,S01,21_07_14_decir_237,2021,same topic,1,10.769435176764866,10.885265571468135,0.24888639567079807,i,n,decir,ultimate,whisper,-200.0,,,,0.11583039470326995,10.8273503741165
0,S01,21_06_25_DeSemana_15,2021,end,6,11.166140280921436,11.224889377251802,0.5316646404807468,i,3_pre_n,fin,,,3.406845430983626,7.52911506772136,126.11617003538848,129.7339948752543,0.05874909633036651,11.195514829086619
1,S01,21_06_25_DeSemana_15,2021,end,5,11.268951199499575,11.308606839522573,0.4288537219026072,e,2_pre_n,de,,creaky,-209.77893174430787,-0.09252896450124007,123.25677198840377,122.69504976986688,0.03965564002299793,11.288779019511075
2,S01,21_06_25_DeSemana_15,2021,end,4,11.371999969334087,11.4344208841851,0.32580495206809523,e,1_pre_n,semana,penultimate,creaky,-200.0,,,,0.0624209148510122,11.403210426759593
3,S01,21_06_25_DeSemana_15,2021,end,3,11.471873433095709,11.534294347946721,0.22593148830647358,a,n,semana,penultimate,whisper,-200.0,,,,0.0624209148510122,11.503083890521214
4,S01,21_06_25_DeSemana_15,2021,end,2,11.534294347946721,11.583496716123403,0.16351057345546138, ,,semana,penultimate,whisper,-200.0,,,,0.04920236817668133,11.558895532035063
5,S01,21_06_25_DeSemana_15,2021,end,1,11.583496716123403,11.697804921402183,0.11430820527878005,a,1_post_n,semana,penultimate,whisper,-200.0,,,,0.11430820527878005,11.640650818762794
